Product Code,Product Description,Product Category Code,Tharisa PLC (1),Main Catagory (2),Sub Area (3),Product Category Description,Plant Area (4),STAT GROUP (5),STAT GROUP (6),STAT GROUP (7),STAT GROUP (8),Item Status,Statistical Group Code, Statistical Group Code Description , Bin Location , Bin Location Type , Quantity On Order , Stock On Hand , Max Stock QTY , Reorder QTY , Safety Stock QTY ,Moving Average Price, Total Value of Item 
100100001,"MIXTEC - AGITATOR GEARBOX MODEL 1137, BASEPLATE, HALF COUPLING - FLOAT PGM HOLDING TANK GENESIS",1001,Plant WH1,Processing,Agitators & Mixers,Agitators & Mixers,N/A 4,N/A 3,N/A 2,N/A 1,,Active,CRI, Critical Stock , AAA , DEF , -   ,1,1, -   , R 1.00 ,"$90,649.00 ","90,649.00"
100100002,MIXTEC - AGITATOR WET END & IMPELLERS - FLOAT PGM HOLDING TANK GENESIS,1001,Plant WH1,Processing,Agitators & Mixers,Agitators & Mixers,N/A 4,N/A 3,N/A 2,N/A 1,,Active,CRI, Critical Stock , AAA , DEF , -   ,1,1, -   , R 1.00 ,"$41,015.00 ","41,015.00"
100100010,"RECONNED - MIXTEC - AGITATOR GEARBOX MODEL 1137, BASEPLATE, HALF COUPLING - FLOAT PGM HOLDING TANK GENESIS",1001,Plant WH1,Processing,Agitators & Mixers,Agitators & Mixers,N/A 4,N/A 3,N/A 2,N/A 1,,Active,,  ,  ,  , -   , -   , -   , -   , R -   , $-   , -   
110100001,BEARING  SKF ONLY- BALL - 6303 DDUC3,1101,Plant WH1,Processing,Bearings,Bearings - Ball,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS05102 , RACAR , -   ,4,2, -   , R 2.00 ,$40.52 ,162.09
110100002,BEARING SKF ONLY - BALL - 6204 DDUC3,1101,Plant WH1,Processing,Bearings,Bearings - Ball,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS05103 , RACAR , -   ,2,2, -   , R 2.00 ,$21.49 ,42.98
110100003,BEARING  SKF ONLY - BALL - 6301 DDUC3,1101,Plant WH1,Processing,Bearings,Bearings - Ball,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS05104 , RACAR , -   ,10,10, -   , R 10.00 ,$79.11 ,791.1
110200001,BEARING SKF ONLY - CYLINDER ROLLER - MM0328678  - (METSO PUMPS),1102,Plant WH1,Processing,Bearings,Bearings - Roller,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS01401 , RACAR , -   ,4,1, -   , R 1.00 ,"$10,751.51 ","43,006.02"
110200002,BEARING SKF ONLY - ROLLER - 790009 - (METSO PUMPS),1102,Plant WH1,Processing,Bearings,Bearings - Roller,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS01402 , RACAR , -   ,2,1, -   , R 1.00 ,"$16,886.00 ","33,772.00"
110200003,BEARING SKF ONLY - SPLIT CYL ROLLER 22232 KBX - FOR SN HOUSING-,1102,Plant WH1,Processing,Bearings,Bearings - Roller,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS02401 , RACAR , -   ,2,2, -   , R 2.00 ,"$27,250.40 ","54,500.80"
110300001,BEARING  SKF ONLY - TAPERED ROLLER - K L45449/10,1103,Plant WH1,Processing,Bearings,Bearings - Taper,N/A 4,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AS06101 , RACAR , -   ,4,2, -   , R 2.00 ,$63.41 ,253.64
